Nombre,Link,Pais,Reputacion,N_oro,N_plata,N_bronce
Joel Coehoorn,https://stackoverflow.com/users/3043/joel-coehoorn,York; NE,390437,111,561,789
jfs,https://stackoverflow.com/users/4279/jfs,Moscow; Russia,389254,187,961,1643
unwind,https://stackoverflow.com/users/28169/unwind,Stockholm; Sweden,386739,64,467,600
Adam Rosenfield,https://stackoverflow.com/users/9530/adam-rosenfield,United States,383859,96,510,586
Eran,https://stackoverflow.com/users/1221571/eran,Israel,382299,53,687,753
Arun P Johny,https://stackoverflow.com/users/114251/arun-p-johny,Cary; NC; USA,381622,65,525,527
CrazyCoder,https://stackoverflow.com/users/104891/crazycoder,San Diego; CA; USA,381526,168,963,880
S.Lott,https://stackoverflow.com/users/10661/s-lott,Norfolk; VA,379671,79,505,774
Lasse V. Karlsen,https://stackoverflow.com/users/267/lasse-v-karlsen,Porsgrunn; Norge,374818,100,626,817
Lightness Races in Orbit,https://stackoverflow.com/users/560648/lightness-races-in-orbit,Not provided by the user,374710,74,639,1039
Sarfraz,https://stackoverflow.com/users/139459/sarfraz,Karachi; Pakistan,373398,77,529,576
polygenelubricants,https://stackoverflow.com/users/276101/polygenelubricants,Palo Alto; CA,371340,125,560,621
icza,https://stackoverflow.com/users/1705598/icza,Budapest; Hungary,371104,58,855,787
Ronak Shah,https://stackoverflow.com/users/3962914/ronak-shah,Kuala Lumpur; Federal Territory of Kuala Lumpur; Malaysia,366966,19,143,199
Nina Scholz,https://stackoverflow.com/users/1447675/nina-scholz,Düsseldorf; Germany,366692,24,335,374
rob mayoff,https://stackoverflow.com/users/77567/rob-mayoff,Austin; TX; USA,366661,66,774,829
Denys Séguret,https://stackoverflow.com/users/263525/denys-s%c3%a9guret,Lyon; France,365864,84,773,746
sehe,https://stackoverflow.com/users/85371/sehe,Netherlands,363610,47,439,614
EdChum,https://stackoverflow.com/users/704848/edchum,Not provided by the user,361672,195,791,555
Shepmaster,https://stackoverflow.com/users/155423/shepmaster,Pittsburgh; PA,360956,83,1026,1290
Mark Rajcok,https://stackoverflow.com/users/215945/mark-rajcok,New Jersey; USA,360387,114,491,491
Russia Must Remove Putin,https://stackoverflow.com/users/541136/russia-must-remove-putin,NYC; NY; United States,360112,87,398,330
sepp2k,https://stackoverflow.com/users/149392/sepp2k,Bochum; Germany,359638,52,670,672
cs95,https://stackoverflow.com/users/4909087/cs95,At an ipython shell near you,359580,90,668,719
Jörg W Mittag,https://stackoverflow.com/users/2988/j%c3%b6rg-w-mittag,Karlsruhe; Germany,358832,75,435,644
Ladislav Mrnka,https://stackoverflow.com/users/413501/ladislav-mrnka,Welwyn Garden City; United Kingdom,358450,58,656,666
Bryan Oakley,https://stackoverflow.com/users/7432/bryan-oakley,Choctaw; OK,358301,50,528,668
Ned Batchelder,https://stackoverflow.com/users/14343/ned-batchelder,Boston; MA,356875,72,559,655
ikegami,https://stackoverflow.com/users/589924/ikegami,Not provided by the user,356619,15,256,506
poke,https://stackoverflow.com/users/216074/poke,Dortmund; Germany,356446,69,550,594
templatetypedef,https://stackoverflow.com/users/501557/templatetypedef,Not provided by the user,355800,100,881,1051
Dirk Eddelbuettel,https://stackoverflow.com/users/143305/dirk-eddelbuettel,Chicago; IL; United States,354800,56,634,718
Marc B,https://stackoverflow.com/users/118068/marc-b,Canada,353176,42,412,493
Matt Ball,https://stackoverflow.com/users/139010/matt-ball,Somewhere near the inner rim of the Orion Arm,350347,99,641,704
mklement0,https://stackoverflow.com/users/45375/mklement0,United States,350307,60,554,696
Fred Foo,https://stackoverflow.com/users/166749/fred-foo,Not provided by the user,350079,75,728,828
Nawaz,https://stackoverflow.com/users/415784/nawaz,Singapore,348923,113,656,846
falsetru,https://stackoverflow.com/users/2225682/falsetru,Seoul; South Korea,348515,62,699,620
Andy Hayden,https://stackoverflow.com/users/1240268/andy-hayden,San Francisco Bay Area,347096,99,613,527
abarnert,https://stackoverflow.com/users/908494/abarnert,San Francisco; CA,345788,47,584,656
CertainPerformance,https://stackoverflow.com/users/9515207/certainperformance,Austin; TX; USA,344242,50,280,299
James McNellis,https://stackoverflow.com/users/151292/james-mcnellis,Washington; DC,343663,75,906,974
Zim,https://stackoverflow.com/users/171456/zim,USA,342315,86,698,615
John Kugelman,https://stackoverflow.com/users/68587/john-kugelman,Virginia,341920,67,517,564
Andrew Hare,https://stackoverflow.com/users/34211/andrew-hare,Wyoming; United States,339960,71,635,631
MadProgrammer,https://stackoverflow.com/users/992484/madprogrammer,Melbourne; Australia,339830,22,224,354
Michael Borgwardt,https://stackoverflow.com/users/16883/michael-borgwardt,Munich; Germany,339494,77,477,713
Joey,https://stackoverflow.com/users/73070/joey,Tübingen; Germany,338587,83,679,678
karim79,https://stackoverflow.com/users/70393/karim79,Berlin; Germany,337624,67,411,406
Dennis Williamson,https://stackoverflow.com/users/26428/dennis-williamson,United States,337041,88,371,436
readonly,https://stackoverflow.com/users/4883/readonly,Chicago; Illinois; United States,336334,107,203,205
Rob W,https://stackoverflow.com/users/938089/rob-w,The Netherlands,335698,81,787,673
Brian R. Bondy,https://stackoverflow.com/users/3153/brian-r-bondy,Ontario; Canada,334110,122,589,631
Daniel Vassallo,https://stackoverflow.com/users/222908/daniel-vassallo,Seattle; WA,333259,71,499,440
Andy E,https://stackoverflow.com/users/94197/andy-e,Leeds; United Kingdom,333073,84,472,444
DSM,https://stackoverflow.com/users/487339/dsm,Canada,332916,62,582,486
Alnitak,https://stackoverflow.com/users/6782/alnitak,United Kingdom,331036,70,404,489
Tomasz Nurkiewicz,https://stackoverflow.com/users/605744/tomasz-nurkiewicz,Warsaw; Poland,330170,68,695,669
Michael Benjamin,https://stackoverflow.com/users/3597276/michael-benjamin,USA,330020,99,551,679
Michael Burr,https://stackoverflow.com/users/12711/michael-burr,Seattle; WA,328540,50,529,753
Rory McCrossan,https://stackoverflow.com/users/519413/rory-mccrossan,Buckinghamshire; United Kingdom,328359,38,302,333
Tomalak,https://stackoverflow.com/users/18771/tomalak,Frankfurt; Germany,328071,66,520,620
Ciro Santilli OurBigBook.com,https://stackoverflow.com/users/895245/ciro-santilli-ourbigbook-com,1999法轮功，2018包子露宪,327298,95,1151,940
Vinko Vrsalovic,https://stackoverflow.com/users/5190/vinko-vrsalovic,Madrid; Spain,325208,53,332,370
Tim Pietzcker,https://stackoverflow.com/users/20670/tim-pietzcker,Ulm; Germany,321922,58,497,554
wim,https://stackoverflow.com/users/674039/wim,ℂ𝕙𝕚𝕔𝕒𝕘𝕠; 𝕀𝕃,321779,97,584,719
OMG Ponies,https://stackoverflow.com/users/135152/omg-ponies,Not provided by the user,320850,79,515,499
ghostdog74,https://stackoverflow.com/users/131527/ghostdog74,Not provided by the user,319175,56,255,342
camickr,https://stackoverflow.com/users/131872/camickr,Not provided by the user,319018,19,162,284
Aaron Digulla,https://stackoverflow.com/users/34088/aaron-digulla,Switzerland,316796,106,588,812
assylias,https://stackoverflow.com/users/829571/assylias,London; United Kingdom,316639,77,655,772
Niet the Dark Absol,https://stackoverflow.com/users/507674/niet-the-dark-absol,United Kingdom,316526,80,456,587
Brian Campbell,https://stackoverflow.com/users/69755/brian-campbell,Montpelier; VT; USA,316064,56,358,339
zero323,https://stackoverflow.com/users/1560062/zero323,Not provided by the user,316048,97,947,928
user113716,https://stackoverflow.com/users/113716/user113716,Not provided by the user,315378,62,449,438
Tim Down,https://stackoverflow.com/users/96100/tim-down,United Kingdom,312871,73,450,527
BENY,https://stackoverflow.com/users/7964527/beny,United States,312460,19,155,217
Greg,https://stackoverflow.com/users/24181/greg,United Kingdom,312410,53,368,330
rmaddy,https://stackoverflow.com/users/1226963/rmaddy,Not provided by the user,311887,42,525,567
Peter Cordes,https://stackoverflow.com/users/224132/peter-cordes,Halifax; Canada,310469,44,569,799
Gordon,https://stackoverflow.com/users/208809/gordon,Essen; Germany,309754,72,532,555
adeneo,https://stackoverflow.com/users/965051/adeneo,Norway,309079,28,391,385
AnT stands with Russia,https://stackoverflow.com/users/187690/ant-stands-with-russia,Silicon Valley; CA; United States,308120,41,517,760
ImportanceOfBeingErnest,https://stackoverflow.com/users/4124317/importanceofbeingernest,QuantumLocation,308112,53,624,676
Joan Venge,https://stackoverflow.com/users/51816/joan-venge,Los Angeles; CA,306427,209,469,677
ThiefMaster,https://stackoverflow.com/users/298479/thiefmaster,Germany,305931,81,586,626
duffymo,https://stackoverflow.com/users/37213/duffymo,Not provided by the user,302870,44,368,556
Jakub Narębski,https://stackoverflow.com/users/46058/jakub-nar%c4%99bski,Torun; Poland,300653,65,219,230
John Feminella,https://stackoverflow.com/users/75170/john-feminella,Charlottesville; VA,299699,45,336,356
SilentGhost,https://stackoverflow.com/users/12855/silentghost,Not provided by the user,299531,65,304,291
JohnnyHK,https://stackoverflow.com/users/1259510/johnnyhk,Wisconsin,299257,64,611,465
Joachim Sauer,https://stackoverflow.com/users/40342/joachim-sauer,Linz; Austria,298020,57,552,610
Craig Ringer,https://stackoverflow.com/users/398670/craig-ringer,Western Australia; Australia,296510,71,664,752
trincot,https://stackoverflow.com/users/5459839/trincot,Belgium,295403,33,237,275
Mark Ransom,https://stackoverflow.com/users/5987/mark-ransom,Minneapolis; MN,294321,40,388,615
Drew Noakes,https://stackoverflow.com/users/24874/drew-noakes,Melbourne; Australia,293834,162,669,736
Daniel C. Sobral,https://stackoverflow.com/users/53013/daniel-c-sobral,Boulder; CO; USA,293260,86,497,679
Mitch Wheat,https://stackoverflow.com/users/16076/mitch-wheat,Perth; Western Australia,292779,43,462,537
Paul Dixon,https://stackoverflow.com/users/6521/paul-dixon,United Kingdom,292774,51,310,344
mgilson,https://stackoverflow.com/users/748858/mgilson,Pittsburgh; PA; United States,292679,63,614,680
Mark Harrison,https://stackoverflow.com/users/116/mark-harrison,Piedmont; CA,291411,123,329,458
Phrogz,https://stackoverflow.com/users/405017/phrogz,Boulder; CO,291302,108,646,732
Alasdair,https://stackoverflow.com/users/113962/alasdair,Brighton; UK,290496,52,561,506
John La Rooy,https://stackoverflow.com/users/174728/john-la-rooy,Melbourne; Victoria; Australia,289818,51,360,501
Sean Patrick Floyd,https://stackoverflow.com/users/342852/sean-patrick-floyd,Seattle; WA; United States,289439,64,461,584
Mureinik,https://stackoverflow.com/users/2422776/mureinik,Tel Aviv; Israel,289128,51,298,337
Gabriele Mariotti,https://stackoverflow.com/users/2016562/gabriele-mariotti,Italy,286912,85,777,777
Basil Bourque,https://stackoverflow.com/users/642706/basil-bourque,Not provided by the user,285224,95,806,1098
Remus Rusanu,https://stackoverflow.com/users/105929/remus-rusanu,Bucharest; Romania,285214,40,429,564
Doug Stevenson,https://stackoverflow.com/users/807126/doug-stevenson,127.0.0.1,285162,30,386,409
Vlad from Moscow,https://stackoverflow.com/users/2877241/vlad-from-moscow,Moscow; Russia,284852,21,178,321
Blender,https://stackoverflow.com/users/464744/blender,USA,283925,52,432,490
manojlds,https://stackoverflow.com/users/526535/manojlds,Chennai; India,283704,62,466,415
Thomas Levesque,https://stackoverflow.com/users/98713/thomas-levesque,Paris; France,283473,66,616,750
Hovercraft Full Of Eels,https://stackoverflow.com/users/522444/hovercraft-full-of-eels,Not provided by the user,282062,25,254,370
Matthieu M.,https://stackoverflow.com/users/147192/matthieu-m,Amsterdam; Netherlands,279010,48,438,706
piRSquared,https://stackoverflow.com/users/2336654/pirsquared,San Diego; CA; USA,278299,56,460,603
Holger,https://stackoverflow.com/users/2711488/holger,Berlin,278203,39,421,747
Barry,https://stackoverflow.com/users/2069064/barry,Not provided by the user,277747,29,582,949
Rob Napier,https://stackoverflow.com/users/97337/rob-napier,Raleigh; NC,275692,34,446,588
pupeno,https://stackoverflow.com/users/6068/pupeno,United Kingdom,274954,126,363,602
Ben Voigt,https://stackoverflow.com/users/103167/ben-voigt,Houston; TX,273969,41,407,711
Matthew Flaschen,https://stackoverflow.com/users/47773/matthew-flaschen,Philadelphia; PA,273966,50,513,537
phihag,https://stackoverflow.com/users/35070/phihag,Düsseldorf; Germany,272018,71,444,465
Charles Duffy,https://stackoverflow.com/users/14122/charles-duffy,Chicago; IL,270426,42,372,428
Steve Jessop,https://stackoverflow.com/users/13005/steve-jessop,Oxford; United Kingdom,269879,38,453,695
Sotirios Delimanolis,https://stackoverflow.com/users/438154/sotirios-delimanolis,Not provided by the user,269657,59,687,717
Joe Kington,https://stackoverflow.com/users/325565/joe-kington,Houston; TX,268276,70,599,462
Aaron Bertrand,https://stackoverflow.com/users/61305/aaron-bertrand,Matthews; NC,267980,36,457,485
Benjamin Gruenbaum,https://stackoverflow.com/users/1348195/benjamin-gruenbaum,Israel,266761,87,497,499
RichieHindle,https://stackoverflow.com/users/21886/richiehindle,Hertford; United Kingdom,266486,47,354,395
mpen,https://stackoverflow.com/users/65387/mpen,San Francisco Bay Area,265489,263,830,1205
Brian Agnew,https://stackoverflow.com/users/12960/brian-agnew,London; United Kingdom,265373,36,331,437
fedorqui,https://stackoverflow.com/users/1983854/fedorqui,Not provided by the user,265312,100,535,589
vadian,https://stackoverflow.com/users/5044042/vadian,St. Gallen; Switzerland,265064,28,330,340
Michael Berkowski,https://stackoverflow.com/users/541091/michael-berkowski,Minneapolis; MN,264905,46,441,385
Oliver Charlesworth,https://stackoverflow.com/users/129570/oliver-charlesworth,London; United Kingdom,264588,31,557,675
Oriol,https://stackoverflow.com/users/1529630/oriol,Catalonia,263540,60,420,502
Sampson,https://stackoverflow.com/users/54680/sampson,Florida,262834,74,535,560
erickson,https://stackoverflow.com/users/3474/erickson,United States,262731,58,393,490
dogbane,https://stackoverflow.com/users/7412/dogbane,London; United Kingdom,261762,75,391,411
Shubham Khatri,https://stackoverflow.com/users/5928186/shubham-khatri,London; United Kingdom,261512,54,390,388
Dan Abramov,https://stackoverflow.com/users/458193/dan-abramov,London; UK,261016,84,406,508
LukeH,https://stackoverflow.com/users/55847/lukeh,Cardiff; United Kingdom,258632,57,361,409
H H,https://stackoverflow.com/users/60761/h-h,Netherlands,257682,30,320,507
Eli Bendersky,https://stackoverflow.com/users/8206/eli-bendersky,California,256872,88,347,410
Ali,https://stackoverflow.com/users/49153/ali,http://ali.actor,256857,261,572,759
Yakk - Adam Nevraumont,https://stackoverflow.com/users/1774667/yakk-adam-nevraumont,Canada,256593,27,320,513
IRTFM,https://stackoverflow.com/users/1855677/irtfm,Alameda; CA,256324,21,361,483
Blankman,https://stackoverflow.com/users/39677/blankman,blankville,254882,317,753,1185
John Woo,https://stackoverflow.com/users/491243/john-woo,Dipolog; Philippines,254872,69,492,488
Salman A,https://stackoverflow.com/users/87015/salman-a,Karachi; Pakistan,254807,81,426,515
flybywire,https://stackoverflow.com/users/63051/flybywire,Not provided by the user,254752,190,395,499
Frédéric Hamidi,https://stackoverflow.com/users/464709/fr%c3%a9d%c3%a9ric-hamidi,France,254726,41,479,473
Thilo,https://stackoverflow.com/users/14955/thilo,Singapore,254150,99,501,648
larsks,https://stackoverflow.com/users/147356/larsks,Not provided by the user,253803,39,371,368
Martin York,https://stackoverflow.com/users/14065/martin-york,Seattle; WA,252507,84,332,555
fredoverflow,https://stackoverflow.com/users/252000/fredoverflow,Germany,252188,92,380,649
TIMEX,https://stackoverflow.com/users/179736/timex,Not provided by the user,250670,347,766,1067
basarat,https://stackoverflow.com/users/390330/basarat,Melbourne; Australia,250614,55,446,500
Luchian Grigore,https://stackoverflow.com/users/673730/luchian-grigore,Bucharest; Romania,250193,63,453,619
Keith Thompson,https://stackoverflow.com/users/827263/keith-thompson,San Diego; CA,249265,42,421,621
user2357112,https://stackoverflow.com/users/2357112/user2357112,Not provided by the user,247994,27,402,482
Mike Seymour,https://stackoverflow.com/users/204847/mike-seymour,United Kingdom,246683,28,440,637
zerkms,https://stackoverflow.com/users/251311/zerkms,Wellington; New Zealand,245883,67,434,534
David Thomas,https://stackoverflow.com/users/82548/david-thomas,Cambridge; United Kingdom,245688,51,369,405
G. Grothendieck,https://stackoverflow.com/users/516548/g-grothendieck,Not provided by the user,245509,17,198,331
Mark Rushakoff,https://stackoverflow.com/users/126042/mark-rushakoff,USA,244754,45,403,397
