numero,empresa,ciudades,habilidades
47,"Jack Henry & Associates, Inc.®",Elizabethtown;Charlotte;Louisville,scala;go;ecmascript-harmony;scala;go;ecmascript-harmony;docker;c#;objective-c;swift;kotlin;ruby;javascript;typescript;node.js;web;oauth;openid-connect;hugo;swagger;openapi;git;npm;yarn;json;jwt;confluent;kafka;tsql;visual-studio;sql-server;postgresql;kubernetes;prometheus;redis;android-3.0-honeycomb;datadog;cosmos
48,Endava,Serbia;North Macedonia;Bosnia and Herzegovina,reactjs;angular;typescript;reactjs;angular;typescript;javascript;frontend;.net;c#;java;backend;android;ios;mobile;testing;devops;azure;azure-devops;linux;windows;architecture;infrastructure;etl;sql;bigdata;plsql;python;php;symphony-cms;unity3d;google-cloud-platform;go;unity3d-editor
49,JPMorgan Chase & Co.,Buenos Aires;Herzliya;Bengaluru,java;python;sql;java;python;sql;devops;bigdata;mobile;cloud;microservices;machine-learning;infrastructure;software-design;javascript;c++;data-science;neural-network;nlp;natural-language-processi;processing;deep-learning;artificial-intelligence
50,ASML,Chandler;Veldhoven;East District,c#;java-ee;c++;c#;java-ee;c++;c;python;oop;unix;linux;jboss;jenkins;maven;java;delphi;agile;scrum
51,Volvo Group,Curitiba;Greensboro;Lyon,reactjs;redux;graphql;reactjs;redux;graphql;styled-components;expressjs;microservices;java;.net;postgresql;python;docker;amazon-web-services;git;mongodb;devsecops;nodejs;oracle;gerrit;amq;influx;elk;rpa;s4hana;sap-erp;sap-fiori;powerbi;azure;c#;rest;azure-devops;entity-framework;r;tensorflow
52,atma.io,Graz;Zagreb,.net;asp.net-core;c#;.net;asp.net-core;c#;node.js;api;mongodb;azure;azure-devops;azure-cosmosdb;python;redis;microservices;angular;typescript;unit-testing;azure-queues;azureservicebus
53,Breuninger GmbH & Co.,Düsseldorf;Stuttgart,java;scala;html5;java;scala;html5;css3;javascript;nosql;docker;container;scrum;kanban;spring-boot;mongodb;domain-driven-design;swift;android;ios;kotlin;mobile;phython
54,WebBeds Tech,Florida;Bangkok;Palma,php;.net;go;php;.net;go;mysql;laravel;c#;oop;amazon-web-services;microservices;json;kubernetes;web-services
55,Warner Bros. Discovery,Sterling;New York;Silver Spring,java;spring-boot;javascript;java;spring-boot;javascript;python-3.x;angular;machine-learning;postgresql;neo4j;json;amazon-web-services;google-cloud-platform;elasticsearch;mysql;php;redux;angularjs;python;mongodb;node.js;ruby;reactjs
56,Discover Financial Svcs,Farnborough;London,javascript;tableau-api;powerbi;javascript;tableau-api;powerbi;qlikview;teradata;hadoop;amazon-redshift;essbase;kubernetes;java;spring-boot;spring;json;elk;logstash;kibana;gemfire;oracle;amazon-rds;aws-rds;cloud-foundry;jakarta-ee;angularjs;node.js;github;gradle;nexus;ansible;chef-infra;cloudfoundry-uaa;rabbitmq;cucumber
